date,type,maxpressurem,maxdewptm,maxpressurei,maxdewpti,since1julheatingdegreedaysnormal,heatingdegreedaysnormal,since1sepcoolingdegreedaysnormal,hail,since1julsnowfallm,since1julheatingdegreedays,maxvisi,since1sepheatingdegreedaysnormal,heatingdegreedays,mindewptm,since1sepheatingdegreedays,maxwspdm,since1julsnowfalli,since1sepcoolingdegreedays,snow,meanvism,meandewptm,snowdepthm,meanvisi,fog,snowdepthi,minvism,since1jancoolingdegreedays,minvisi,coolingdegreedaysnormal,gdegreedays,maxwspdi,meanwindspdi,meanpressurei,monthtodateheatingdegreedaysnormal,meanwindspdm,meanpressurem,tornado,mindewpti,mintempi,meandewpti,rain,mintempm,minhumidity,precipsource,minwspdi,meanwdird,meanwdire,minwspdm,monthtodatesnowfalli,monthtodatecoolingdegreedaysnormal,monthtodatesnowfallm,maxhumidity,coolingdegreedays,maxtempm,minpressurei,monthtodatecoolingdegreedays,maxtempi,minpressurem,humidity,precipi,snowfalli,since1jancoolingdegreedaysnormal,precipm,snowfallm,thunder,monthtodateheatingdegreedays,meantempi,maxvism,meantempm,
20160101,daily,1017,21,30.04,70,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,15,NaN,13,NaN,NaN,0,10.0,18,NaN,6.2,0,NaN,10.0,NaN,6.2,NaN,33,8,4,29.96,NaN,7,1014.38,0,59,73,64,0,23,32,3Or6HourObs,1,35,NE,2,NaN,NaN,NaN,74,18,34,29.89,NaN,93,1012,56,0.00,NaN,NaN,0.0,NaN,0,NaN,83,10.0,28,
20160102,daily,1016,22,30.01,72,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,18,NaN,11,NaN,NaN,0,9.7,20,NaN,6.0,0,NaN,8.0,NaN,5.0,NaN,32,7,3,29.94,NaN,5,1013.71,0,64,73,67,0,23,41,3Or6HourObs,1,197,SSW,2,NaN,NaN,NaN,78,17,33,29.86,NaN,91,1011,60,0.00,NaN,NaN,0.0,NaN,0,NaN,82,10.0,28,
20160103,daily,1015,26,29.98,79,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,21,NaN,30,NaN,NaN,0,8.7,23,NaN,5.4,0,NaN,2.0,NaN,1.2,NaN,33,18,3,29.93,NaN,5,1013.34,0,70,75,73,1,24,49,3Or6HourObs,0,205,SSW,0,NaN,NaN,NaN,100,18,33,29.86,NaN,91,1011,75,0.00,NaN,NaN,0.0,NaN,0,NaN,83,10.0,28,
20160104,daily,1016,23,30.01,73,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,20,NaN,18,NaN,NaN,0,10.0,21,NaN,6.2,0,NaN,10.0,NaN,6.2,NaN,34,12,7,29.93,NaN,11,1013.49,0,68,78,70,0,26,46,3Or6HourObs,2,134,SE,4,NaN,NaN,NaN,83,20,33,29.86,NaN,91,1011,64,0.00,NaN,NaN,0.0,NaN,0,NaN,84,10.0,30,
20160105,daily,1015,22,29.98,72,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,20,NaN,18,NaN,NaN,0,10.0,21,NaN,6.2,0,NaN,10.0,NaN,6.2,NaN,34,12,7,29.92,NaN,12,1012.95,0,68,78,70,0,26,49,3Or6HourObs,4,137,SE,6,NaN,NaN,NaN,78,20,33,29.83,NaN,91,1010,68,0.00,NaN,NaN,0.0,NaN,0,NaN,84,10.0,30,
20160106,daily,1015,23,29.98,73,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,21,NaN,20,NaN,NaN,0,9.8,21,NaN,6.1,0,NaN,6.0,NaN,3.7,NaN,34,13,6,29.92,NaN,9,1013.10,0,70,78,71,1,26,49,3Or6HourObs,1,141,SE,2,NaN,NaN,NaN,79,20,33,29.86,NaN,91,1011,68,0.00,NaN,NaN,0.0,NaN,0,NaN,84,10.0,30,
20160107,daily,1016,22,30.01,72,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,19,NaN,18,NaN,NaN,0,9.5,21,NaN,5.9,0,NaN,7.0,NaN,4.3,NaN,35,12,5,29.93,NaN,8,1013.32,0,66,77,70,0,25,41,3Or6HourObs,1,117,ESE,2,NaN,NaN,NaN,83,20,34,29.86,NaN,93,1011,65,0.00,NaN,NaN,0.0,NaN,0,NaN,85,10.0,30,
20160108,daily,1015,22,29.98,72,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,20,NaN,18,NaN,NaN,0,9.8,21,NaN,6.1,0,NaN,6.0,NaN,3.7,NaN,34,12,6,29.91,NaN,9,1012.67,0,68,77,70,0,25,46,3Or6HourObs,1,118,ESE,2,NaN,NaN,NaN,83,19,33,29.83,NaN,91,1010,66,0.00,NaN,NaN,0.0,NaN,0,NaN,84,10.0,29,
20160109,daily,1014,22,29.95,72,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,19,NaN,20,NaN,NaN,0,9.9,20,NaN,6.1,0,NaN,7.0,NaN,4.3,NaN,34,13,7,29.89,NaN,11,1012.15,0,66,75,69,0,24,43,3Or6HourObs,2,122,ESE,4,NaN,NaN,NaN,83,19,34,29.83,NaN,93,1010,64,0.00,NaN,NaN,0.0,NaN,0,NaN,84,10.0,29,
20160110,daily,1014,21,29.95,70,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,19,NaN,20,NaN,NaN,0,10.0,20,NaN,6.2,0,NaN,10.0,NaN,6.2,NaN,34,13,7,29.89,NaN,11,1012.17,0,66,77,68,0,25,43,3Or6HourObs,1,132,SE,2,NaN,NaN,NaN,78,19,33,29.83,NaN,91,1010,62,0.00,NaN,NaN,0.0,NaN,0,NaN,84,10.0,29,
20160111,daily,1014,22,29.95,72,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,19,NaN,15,NaN,NaN,0,9.8,21,NaN,6.1,0,NaN,8.0,NaN,5.0,NaN,35,9,4,29.89,NaN,6,1012.04,0,66,77,69,0,25,41,3Or6HourObs,0,149,SSE,0,NaN,NaN,NaN,83,20,34,29.83,NaN,93,1010,64,0.00,NaN,NaN,0.0,NaN,0,NaN,85,10.0,30,
20160112,daily,1014,23,29.95,73,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,20,NaN,20,NaN,NaN,0,10.0,22,NaN,6.2,0,NaN,10.0,NaN,6.2,NaN,34,13,5,29.87,NaN,9,1011.40,0,68,77,71,0,25,49,3Or6HourObs,1,129,SE,2,NaN,NaN,NaN,83,19,33,29.80,NaN,91,1009,68,0.00,NaN,NaN,0.0,NaN,0,NaN,84,10.0,29,
20160113,daily,1013,22,29.92,72,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,19,NaN,22,NaN,NaN,0,9.7,20,NaN,6.0,0,NaN,8.0,NaN,5.0,NaN,35,14,7,29.85,NaN,11,1010.58,0,66,75,69,0,24,39,3Or6HourObs,2,112,ESE,4,NaN,NaN,NaN,83,20,35,29.77,NaN,95,1008,61,0.00,NaN,NaN,0.0,NaN,0,NaN,85,10.0,30,
20160114,daily,1013,22,29.92,72,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,19,NaN,20,NaN,NaN,0,9.9,20,NaN,6.2,0,NaN,8.0,NaN,5.0,NaN,35,13,6,29.85,NaN,10,1010.58,0,66,75,68,0,24,39,3Or6HourObs,4,113,ESE,6,NaN,NaN,NaN,78,20,35,29.77,NaN,95,1008,60,0.00,NaN,NaN,0.0,NaN,0,NaN,85,10.0,30,
20160115,daily,1011,23,29.86,73,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,20,NaN,18,NaN,NaN,0,10.0,22,NaN,6.2,0,NaN,10.0,NaN,6.2,NaN,35,12,8,29.80,NaN,13,1009.10,0,68,77,71,0,25,46,3Or6HourObs,4,122,ESE,6,NaN,NaN,NaN,83,20,34,29.74,NaN,93,1007,65,0.00,NaN,NaN,0.0,NaN,0,NaN,85,10.0,30,
20160116,daily,1012,24,29.89,75,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,22,NaN,18,NaN,NaN,0,9.9,23,NaN,6.1,0,NaN,8.0,NaN,5.0,NaN,34,12,5,29.81,NaN,9,1009.31,0,72,77,73,0,25,52,3Or6HourObs,1,137,SE,2,NaN,NaN,NaN,89,19,33,29.74,NaN,91,1007,72,0.00,NaN,NaN,0.0,NaN,0,NaN,84,10.0,29,
20160117,daily,1011,24,29.86,75,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,20,NaN,15,NaN,NaN,0,9.8,22,NaN,6.0,0,NaN,7.0,NaN,4.3,NaN,34,9,5,29.81,NaN,8,1009.46,0,68,77,72,0,25,46,3Or6HourObs,2,149,SSE,4,NaN,NaN,NaN,89,19,33,29.74,NaN,91,1007,71,0.00,NaN,NaN,0.0,NaN,0,NaN,84,10.0,29,
20160118,daily,1012,24,29.89,75,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,21,NaN,22,NaN,NaN,0,9.8,23,NaN,6.1,0,NaN,8.0,NaN,5.0,NaN,35,14,6,29.82,NaN,9,1009.52,0,70,77,73,0,25,49,3Or6HourObs,1,140,SE,2,NaN,NaN,NaN,89,20,34,29.74,NaN,93,1007,71,0.00,NaN,NaN,0.0,NaN,0,NaN,85,10.0,30,
20160119,daily,1013,23,29.92,73,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,21,NaN,24,NaN,NaN,0,10.0,22,NaN,6.2,0,NaN,10.0,NaN,6.2,NaN,36,15,8,29.84,NaN,13,1010.33,0,70,78,71,0,26,49,3Or6HourObs,5,130,SE,7,NaN,NaN,NaN,79,20,34,29.77,NaN,93,1008,65,0.00,NaN,NaN,0.0,NaN,0,NaN,86,10.0,30,
20160120,daily,1015,22,29.98,72,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,18,NaN,20,NaN,NaN,0,10.0,20,NaN,6.2,0,NaN,10.0,NaN,6.2,NaN,37,13,7,29.89,NaN,12,1011.89,0,64,78,69,0,26,36,3Or6HourObs,4,118,ESE,6,NaN,NaN,NaN,74,22,36,29.80,NaN,96,1009,59,0.00,NaN,NaN,0.0,NaN,0,NaN,87,10.0,31,
20160121,daily,1014,21,29.95,70,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,16,NaN,24,NaN,NaN,0,10.0,19,NaN,6.2,0,NaN,10.0,NaN,6.2,NaN,36,15,7,29.88,NaN,12,1011.71,0,61,77,66,0,25,32,3Or6HourObs,4,124,SE,6,NaN,NaN,NaN,74,21,35,29.80,NaN,95,1009,56,0.00,NaN,NaN,0.0,NaN,0,NaN,86,10.0,30,
20160122,daily,1015,21,29.98,70,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,19,NaN,18,NaN,NaN,0,9.9,20,NaN,6.2,0,NaN,8.0,NaN,5.0,NaN,34,12,6,29.90,NaN,10,1012.19,0,66,75,68,0,24,41,3Or6HourObs,1,122,ESE,2,NaN,NaN,NaN,78,19,34,29.83,NaN,93,1010,60,0.00,NaN,NaN,0.0,NaN,0,NaN,84,10.0,29,
20160123,daily,1015,23,29.98,73,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,19,NaN,20,NaN,NaN,0,9.9,21,NaN,6.1,0,NaN,8.0,NaN,5.0,NaN,35,13,7,29.91,NaN,11,1012.58,0,66,75,70,0,24,39,3Or6HourObs,1,121,ESE,2,NaN,NaN,NaN,83,20,35,29.83,NaN,95,1010,64,0.00,NaN,NaN,0.0,NaN,0,NaN,85,10.0,30,
20160124,daily,1016,22,30.01,72,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,15,NaN,22,NaN,NaN,0,9.8,20,NaN,6.0,0,NaN,5.0,NaN,3.1,NaN,36,14,5,29.94,NaN,7,1013.83,0,59,77,68,0,25,36,3Or6HourObs,1,55,NE,2,NaN,NaN,NaN,83,21,35,29.86,NaN,95,1011,61,0.00,NaN,NaN,0.0,NaN,0,NaN,86,10.0,30,
20160125,daily,1017,19,30.04,66,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,14,NaN,18,NaN,NaN,0,10.0,15,NaN,6.2,0,NaN,10.0,NaN,6.2,NaN,30,12,7,29.98,NaN,11,1014.85,0,57,71,59,0,22,35,3Or6HourObs,0,37,NE,0,NaN,NaN,NaN,61,15,32,29.89,NaN,89,1012,49,0.00,NaN,NaN,0.0,NaN,0,NaN,80,10.0,27,
20160126,daily,1016,20,30.01,68,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,14,NaN,15,NaN,NaN,0,9.8,17,NaN,6.1,0,NaN,8.0,NaN,5.0,NaN,29,9,5,29.94,NaN,7,1013.67,0,57,69,62,0,21,38,3Or6HourObs,1,309,NW,2,NaN,NaN,NaN,68,14,32,29.86,NaN,89,1011,55,0.00,NaN,NaN,0.0,NaN,0,NaN,79,10.0,26,
20160127,daily,1015,21,29.98,70,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,18,NaN,17,NaN,NaN,0,8.6,19,NaN,5.4,0,NaN,5.0,NaN,3.1,NaN,34,10,4,29.91,NaN,7,1012.56,0,64,77,67,1,25,43,3Or6HourObs,0,79,East,0,NaN,NaN,NaN,69,19,33,29.83,NaN,91,1010,57,0.00,NaN,NaN,0.0,NaN,0,NaN,84,10.0,29,
20160128,daily,1014,21,29.95,70,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,20,NaN,17,NaN,NaN,0,10.0,20,NaN,6.2,0,NaN,10.0,NaN,6.2,NaN,34,10,6,29.88,NaN,9,1011.63,0,68,77,69,0,25,46,3Or6HourObs,2,109,ESE,4,NaN,NaN,NaN,74,19,33,29.80,NaN,91,1009,61,0.00,NaN,NaN,0.0,NaN,0,NaN,84,10.0,29,
20160129,daily,1014,23,29.95,73,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,20,NaN,20,NaN,NaN,0,9.7,21,NaN,6.0,0,NaN,0.1,NaN,0.1,NaN,35,13,6,29.88,NaN,10,1011.70,0,68,77,70,0,25,46,3Or6HourObs,2,121,ESE,4,NaN,NaN,NaN,83,20,34,29.80,NaN,93,1009,63,0.00,NaN,NaN,0.0,NaN,0,NaN,85,10.0,30,
