Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 01:00 AM,2016,06,22,01,59,2,16.1,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 02:00 AM,2016,06,22,02,58,2,15.4,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 03:00 AM,2016,06,22,03,58,2,15.2,12.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 04:00 AM,2016,06,22,04,58,2,15.2,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 05:00 AM,2016,06,22,05,58,2,15.5,10.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 06:00 AM,2016,06,22,06,51,2,12.3,12.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 07:00 AM,2016,06,22,07,55,2,14.1,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 08:00 AM,2016,06,22,08,54,2,13.5,13.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 09:00 AM,2016,06,22,09,55,2,14.2,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 10:00 AM,2016,06,22,10,54,2,13.6,13.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 11:00 AM,2016,06,22,11,54,2,13.6,-999.0,UG/M3,1 Hr,Missing
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 12:00 PM,2016,06,22,12,-999,-999,-999.0,-999.0,UG/M3,1 Hr,Missing
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 01:00 PM,2016,06,22,13,-999,-999,-999.0,-999.0,UG/M3,1 Hr,Missing
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 02:00 PM,2016,06,22,14,-999,-999,-999.0,-999.0,UG/M3,1 Hr,Missing
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 03:00 PM,2016,06,22,15,-999,-999,-999.0,-999.0,UG/M3,1 Hr,Missing
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 04:00 PM,2016,06,22,16,-999,-999,-999.0,-999.0,UG/M3,1 Hr,Missing
